series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;FREQ;BENCHMARK_ITEM;DATA_TYPE_EST;UNIT;DECIMALS;UNIT_MULT;COLLECTION;SOURCE_AGENCY;OBS_STATUS;OBS_CONF
ESTR.B.EU000A2X2A25.R75;2025-08-28;2025-08-28;2025-08-28;1,95;2025-08-29T07:00:04+00:00;ESTR;€STR - Taux au 75ème percentile des volumes;Euro short-term rate - Taux au 75ème percentile des volumes;B;EU000A2X2A25;R75;PC;2;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.CM;2025-08-28;2025-08-28;2025-08-28;0,0;2025-08-29T07:00:04+00:00;ESTR;€STR - Méthode de calcul;Euro short-term rate - Méthode de calcul;B;EU000A2X2A25;CM;_Z;0;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.VL;2025-08-28;2025-08-28;2025-08-28;47,0;2025-08-29T07:00:04+00:00;ESTR;€STR - Part des 5 plus grandes banques;Euro short-term rate - Part des 5 plus grandes banques;B;EU000A2X2A25;VL;PC;0;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.NB;2025-08-28;2025-08-28;2025-08-28;46,0;2025-08-29T07:00:04+00:00;ESTR;€STR - Nombre de banques;Euro short-term rate - Nombre de banques;B;EU000A2X2A25;NB;_Z;0;0;S;4F0;A;F
ESTR.B.EU000A2X2A25.R25;2025-08-28;2025-08-28;2025-08-28;1,9;2025-08-29T07:00:04+00:00;ESTR;€STR - Taux au 25ème percentile des volumes;Euro short-term rate - Taux au 25ème percentile des volumes;B;EU000A2X2A25;R25;PC;2;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.RP;2025-08-28;2025-08-28;2025-08-28;0,0;2025-08-29T07:00:04+00:00;ESTR;€STR - Publication;Euro short-term rate - Publication;B;EU000A2X2A25;RP;_Z;0;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.TT;2025-08-28;2025-08-28;2025-08-28;64604,0;2025-08-29T07:00:04+00:00;ESTR;€STR - Volume total;Euro short-term rate - Volume total;B;EU000A2X2A25;TT;EUR;0;6;S;4F0;A;F
ESTR.B.EU000A2X2A25.NT;2025-08-28;2025-08-28;2025-08-28;893,0;2025-08-29T07:00:04+00:00;ESTR;€STR - Nombre de transactions;Euro short-term rate - Nombre de transactions;B;EU000A2X2A25;NT;_Z;0;0;S;4F0;A;F
ESTR.B.EU000A2X2A25.WT;2025-08-28;2025-08-28;2025-08-28;1,925;2025-08-29T07:00:04+00:00;ESTR;€STR - Taux moyen ajusté pondéré en fonction du volume;Euro short-term rate - Taux moyen ajusté pondéré en fonction du volume;B;EU000A2X2A25;WT;PC;3;0;A;4F0;A;F
ESTR.B.EU000A2X2A25.R75;2025-08-27;2025-08-27;2025-08-27;1,95;2025-08-28T07:00:04+00:00;ESTR;€STR - Taux au 75ème percentile des volumes;Euro short-term rate - Taux au 75ème percentile des volumes;B;EU000A2X2A25;R75;PC;2;0;E;4F0;A;F
