series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;FREQ;REF_AREA;ADJUSTMENT;RPP_DWELLING;RPP_GEO_COV;RPP_SOURCE;RPP_SUFFIX;UNIT;DECIMALS;UNIT_MULT;COLLECTION;SOURCE_AGENCY;TIME_FORMAT;OBS_STATUS;OBS_CONF
RPP.Q.FR.N.EF.CS.1.00;2025-Q1;2025-01-01;2025-03-31;115,3;2025-07-02T11:15:49+00:00;RPP;Indice des prix des logements anciens - Ile-de-France: Petite couronne - Appartements - Base 100 en moyenne annuelle 2015 - Série brute;Indice des prix des logements anciens - ??le-de-France : Petite couronne - Appartements - Base 100 en moyenne annuelle 2015 - Série brute;Q;FR;N;EF;CS;1;00;SO;1;0;E;FR1;;P;F
RPP.Q.FR.N.NF.CR.1.00;2025-Q1;2025-01-01;2025-03-31;5329,0;2025-07-02T11:15:48+00:00;RPP;Prix au mètre carré des appartements neufs, Ile de France;Prix au mètre carré des appartements neufs, Ile de France;Q;FR;N;NF;CR;1;00;EURSQ_M;0;0;E;FR70;P3M;A;F
RPP.Q.FR.N.NH.CR.1.00;2025-Q1;2025-01-01;2025-03-31;401,0;2025-07-02T11:15:48+00:00;RPP;Prix de vente moyen d'une maison neuve, Ile de France;Prix de vente moyen d'une maison neuve, Ile de France;Q;FR;N;NH;CR;1;00;EUR;0;3;E;FR70;P3M;A;F
RPP.Q.FR.N.ED.00.1.00;2025-Q1;2025-01-01;2025-03-31;126,3;2025-07-02T11:15:49+00:00;RPP;Indice des prix des logements anciens - France métropolitaine - Ensemble - Base 100 en moyenne annuelle 2015 - Série brute;Indice des prix des logements anciens - France métropolitaine - Ensemble - Base 100 en moyenne annuelle 2015 - Série brute;Q;FR;N;ED;00;1;00;SO;1;0;E;FR1;;P;F
RPP.Q.FR.N.NH.00.1.00;2025-Q1;2025-01-01;2025-03-31;364,0;2025-07-02T11:15:48+00:00;RPP;Prix de vente moyen d'une maison neuve, France entière;Prix de vente moyen d'une maison neuve, France entière;Q;FR;N;NH;00;1;00;EUR;0;3;E;FR70;P3M;A;F
RPP.Q.FR.N.EF.CC.1.00;2025-Q1;2025-01-01;2025-03-31;119,9;2025-07-02T11:15:48+00:00;RPP;Indice des prix des logements anciens - Paris - Appartements - Base 100 en moyenne annuelle 2015 - Série brute;Indice des prix des logements anciens - Paris - Appartements - Base 100 en moyenne annuelle 2015 - Série brute;Q;FR;N;EF;CC;1;00;SO;1;0;E;FR1;;P;F
RPP.Q.FR.N.NF.00.1.00;2025-Q1;2025-01-01;2025-03-31;4845,0;2025-07-02T11:15:48+00:00;RPP;Prix au mètre carré des appartements neufs, France entière;Prix au mètre carré des appartements neufs, France entière;Q;FR;N;NF;00;1;00;EURSQ_M;0;0;E;FR70;P3M;A;F
RPP.Q.FR.N.EF.CS.1.00;2024-Q4;2024-10-01;2024-12-31;114,8;2025-07-02T11:15:49+00:00;RPP;Indice des prix des logements anciens - Ile-de-France: Petite couronne - Appartements - Base 100 en moyenne annuelle 2015 - Série brute;Indice des prix des logements anciens - ??le-de-France : Petite couronne - Appartements - Base 100 en moyenne annuelle 2015 - Série brute;Q;FR;N;EF;CS;1;00;SO;1;0;E;FR1;;A;F
RPP.Q.FR.N.NF.CR.1.00;2024-Q4;2024-10-01;2024-12-31;5287,0;2025-07-02T11:15:48+00:00;RPP;Prix au mètre carré des appartements neufs, Ile de France;Prix au mètre carré des appartements neufs, Ile de France;Q;FR;N;NF;CR;1;00;EURSQ_M;0;0;E;FR70;P3M;A;F
RPP.Q.FR.N.EF.CC.1.00;2024-Q4;2024-10-01;2024-12-31;119,0;2025-07-02T11:15:48+00:00;RPP;Indice des prix des logements anciens - Paris - Appartements - Base 100 en moyenne annuelle 2015 - Série brute;Indice des prix des logements anciens - Paris - Appartements - Base 100 en moyenne annuelle 2015 - Série brute;Q;FR;N;EF;CC;1;00;SO;1;0;E;FR1;;A;F
RPP.Q.FR.N.ED.00.1.00;2024-Q4;2024-10-01;2024-12-31;126,0;2025-07-02T11:15:49+00:00;RPP;Indice des prix des logements anciens - France métropolitaine - Ensemble - Base 100 en moyenne annuelle 2015 - Série brute;Indice des prix des logements anciens - France métropolitaine - Ensemble - Base 100 en moyenne annuelle 2015 - Série brute;Q;FR;N;ED;00;1;00;SO;1;0;E;FR1;;A;F
RPP.Q.FR.N.NH.00.1.00;2024-Q4;2024-10-01;2024-12-31;346,0;2025-07-02T11:15:48+00:00;RPP;Prix de vente moyen d'une maison neuve, France entière;Prix de vente moyen d'une maison neuve, France entière;Q;FR;N;NH;00;1;00;EUR;0;3;E;FR70;P3M;A;F
RPP.Q.FR.N.NF.00.1.00;2024-Q4;2024-10-01;2024-12-31;4707,0;2025-07-02T11:15:48+00:00;RPP;Prix au mètre carré des appartements neufs, France entière;Prix au mètre carré des appartements neufs, France entière;Q;FR;N;NF;00;1;00;EURSQ_M;0;0;E;FR70;P3M;A;F
RPP.Q.FR.N.NH.CR.1.00;2024-Q4;2024-10-01;2024-12-31;;2025-07-02T11:15:48+00:00;RPP;Prix de vente moyen d'une maison neuve, Ile de France;Prix de vente moyen d'une maison neuve, Ile de France;Q;FR;N;NH;CR;1;00;EUR;0;3;E;FR70;P3M;M;F
